production_budget,worldwide_gross,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,imdb_score
425000000,2783918982,2009,1.78,178,4834,7.9
306000000,2058662225,2002,2.12,108.57,143,7.1
300000000,963420425,2007,2.35,169,48350,7.1
300000000,879620923,2015,2.35,148,11700,6.8
275000000,1084439099,2012,2.35,164,106759,8.5
275000000,260002115,2013,2.35,150,45757,6.5
275000000,282778100,2012,2.35,132,1873,6.6
260000000,586581936,2010,1.85,100,2036,7.8
258000000,890875303,2007,2.35,156,46055,6.2
258000000,890875303,2007,2.35,156,46055,6.2
250000000,1404705868,2015,2.35,141,92000,7.5
250000000,1150864745,2016,2.35,147,64798,8.2
250000000,868160194,2016,2.35,183,24450,6.9
250000000,1017003568,2012,2.35,182,9152,7.9
250000000,935083686,2009,2.35,153,58753,7.5
250000000,960366855,2013,2.35,186,9152,7.9
250000000,955119788,2014,2.35,164,9152,7.5
250000000,1045663875,2011,2.35,136,54083,6.7
232000000,374085065,2006,2.35,169,29991,6.1
230000000,591692078,2008,2.35,106,2023,6.7
225000000,1066215812,2006,2.35,151,48486,7.3
225000000,667999518,2013,2.35,143,20495,7.2
225000000,417341288,2008,2.35,150,22697,6.6
220000000,757890267,2012,2.35,153,28489,7
215000000,1670328025,2015,2,124,8458,7
210000000,836519699,2009,2.35,150,3218,6
210000000,1104039076,2014,2.35,165,3988,5.7
210000000,459359555,2006,2.35,104,21714,6.8
210000000,322241588,2010,2.35,156,3244,6.7
209000000,305218228,2012,2.35,131,26679,5.9
200000000,2207615668,1997,2.35,194,45223,7.7
200000000,1069818229,2010,1.85,103,19085,8.3
200000000,1215392272,2013,2.35,195,30426,7.2
200000000,783705001,2004,2.35,135,43388,7.3
200000000,1110526981,2012,2.35,143,2039,7.8
200000000,1110526981,2012,2.35,143,2039,7.8
200000000,743588329,2013,1.85,104,14863,7.3
200000000,490359051,2013,2.35,130,73441,6.4
200000000,490359051,2013,2.35,130,73441,6.4
200000000,747862775,2014,2.35,149,91434,8
200000000,708996336,2014,2.35,142,28631,6.7
200000000,560155383,2011,2.35,106,4482,6.3
200000000,397562763,2010,2.35,125,25550,6.8
200000000,397562763,2010,2.35,125,25549,6.8
200000000,788408539,2009,2.35,158,2144,5.8
200000000,365491792,2009,2.35,118,27468,6.6
200000000,231201172,2011,2.35,123,17657,5.6
200000000,314594597,2010,2.35,116,16149,6.6
195000000,1123790543,2011,2.35,154,2593,6.3
195000000,197687603,2013,2.35,114,1766,6.3
190000000,1514019071,2015,2.35,140,79150,7.2
190000000,467381584,2013,2.35,132,21411,7.8
190000000,531514650,2013,2.35,123,32392,7
190000000,315709697,2009,2.35,96,48878,6.8
190000000,411002906,2013,1.85,131,19166,7
187500000,334354269,2015,2.35,93,696,6.8
186000000,582443126,2008,2.35,126,39252,7.9
185000000,1002891358,2008,2.35,152,57802,9
185000000,786558145,2008,2.35,122,14959,6.2
185000000,554606532,2012,2.35,93,5005,7.2
185000000,196968626,2016,2.35,122,1327,7.5
180000000,720539572,2005,2.35,150,1317,6.9
180000000,758536735,2014,2.35,97,15516,7
180000000,532590994,2008,2.35,98,2975,8.4
180000000,180047784,2011,1.85,126,36017,7.5
179000000,181982519,2015,2.35,127,47334,5.4
178000000,530842489,2016,2.35,144,49684,7.3
178000000,364406256,2014,2.35,113,12652,7.9
175000000,853923085,2015,1.85,95,2944,8.3
175000000,731542621,2009,1.85,96,2635,8.3
175000000,381687380,2009,2.35,94,2579,6.5
175000000,294387183,2016,2.35,123,11287,6.9
175000000,302469017,2009,2.35,118,26683,5.8
175000000,221229335,1999,1.85,106,15870,4.8
175000000,405760225,2008,2.35,112,9131,5.2
175000000,174131329,2007,2.35,96,108016,5.4
175000000,264246220,1995,1.85,176,1004,6.1
175000000,151659062,2013,2.35,128,20965,6.3
170000000,771172112,2014,2.35,121,32438,8.1
170000000,623561331,2010,2.35,124,48638,7
170000000,714401889,2014,2.35,136,36188,7.8
170000000,703545589,2014,1.85,130,14363,7.6
170000000,319090241,2004,2.35,100,16264,6.6
170000000,401016924,2012,2.35,132,72881,6.1
170000000,433058296,2003,2.35,109,1769,6.4
170000000,277279693,2016,1.85,113,80806,6.4
165000000,756244673,2010,2.35,93,4628,6.4
165000000,652127828,2014,2.39,102,2963,7.9
165000000,494870991,2010,2.35,98,20453,8.2
165000000,496511521,2012,2.35,101,4451,7.8
165000000,665417894,2014,2.35,169,31488,8.6
165000000,379262220,2016,2.35,120,3233,5.5
160000000,807330936,2007,1.85,93,4705,6.1
160000000,650523427,2015,2.35,137,81385,6.6
160000000,355408305,2011,2.35,132,50983,7.8
160000000,329809326,2008,2.35,166,13333,7.8
160000000,217986320,2010,2.35,109,13388,6.1
160000000,181674817,2006,2.35,98,92456,5.6
160000000,433125655,2016,2.35,123,5505,7.3
155000000,418186950,2010,1.78,113,764,6.3
155000000,440160956,2015,2.35,126,38873,6.6
155000000,167297191,2004,2.35,206,24598,5.5
151500000,449239855,2001,2.35,184,5401,6.1
150000000,1274234980,2013,2.24,102,2582,7.6
150000000,942943935,2007,2.35,138,33433,7.5
150000000,896911078,2005,2.35,157,53413,7.6
150000000,738576929,2003,2.35,138,534,7.2
150000000,585532684,2007,2.35,104,13076,7.2
150000000,624234272,2008,2.35,102,21584,6.4
150000000,475825484,2005,1.85,115,57844,6.7
150000000,626549695,2007,2.35,111,4764,8
150000000,644600394,2013,2.35,112,59803,7.1
150000000,359142722,2005,2.35,128,59558,8.3
150000000,700868363,2015,2.35,131,21840,7.4
150000000,449326618,2011,2.35,115,60059,7
150000000,599516844,2008,1.85,89,3285,6.7
150000000,374825760,2009,2.35,119,40054,6.7
150000000,402231063,2009,2.35,105,54039,5.9
150000000,664837547,2011,2.35,90,21015,7.3
150000000,373136354,2015,2.35,120,40025,8.1
150000000,427289109,2003,2.35,129,1062,6.7
150000000,397501348,2006,2.35,124,34817,6.9
