|Job Title|Location|Date|Link|Job Attributes|Job Description
1|Software Engineer|Remote|Apr 13|https://boston.craigslist.org/gbs/sof/d/andover-software-engineer/7306130076.html|"
compensation: To Be Discussed

employment type: full-time

"|"

QR Code Link to This Post



Join Hired and find your dream job as a Software Engineer at one of 10,000+ companies looking for candidates just like you.
This is a role that fuses both creative and practical concerns, as these engineers are responsible for everything the website user encounters, including scrolling functions and graphics, as well as creating the logic, database interactions and server configuration on the application's backend.

Responsibilities Include:

The development and maintenance of client-side and server-side applications.
Working with other web developers as well as marketing teams and engineers to ensure the right look and necessary features are included in your work.
Designing tests that will be implemented to keep software functional.
Stay on top of expanding technologies and engineering trends.



Companies on Hired apply to you, not the other way around. You'll receive salary and compensation details upfront - before the interview - and be able to choose from a variety of industries you're interested in, to find a job You'll love in less than 2 weeks.
To Learn More and Apply: Click Here "
2|Xamarine Software Developer|Newton Highlands|Apr 13|https://boston.craigslist.org/gbs/sof/d/newton-highlands-xamarine-software/7306093632.html|"
compensation: based on candidate's experience

employment type: full-time

"|"

QR Code Link to This Post


Our company, a Boston based system developer is looking for full stack hands-on Xamarin Software
Developer to join our team! It's not a remote job, it's a full time employment and you need to be on site everyday.(some flexibility is available)
We are small team of 4 people in the office on a daily basis.
We provide SaaS products to our clients throughout the US and internationally.
We focus on customer software solutions in the unattended retail marketplace, including scheduling
and routing, sales and inventory transaction processing, remote data acquisition from automated and
unattended points of sale, service call tracking.
DUTIES/RESPONSIBILITIES:
 Design, develop, test, and maintain mobile applications for iOS and Android on the Xamarin
platform
 Diagnose complex issues, evaluate, and recommend/execute the best resolution
 Influence system design by identifying and recommending design and requirement needs for
software
 Write code that meets the production requirements and design specifications
 Implement manual and automated testing for the mobile application development process
 Participate in design reviews to provide a technical perspective on implementation
 Able to perform research of Third-party tools and undertake implementation of them
 Be able to comprehend, analyze and communicate Business requirements and issues arising
from existing published implementations
 Publishing app to testing environments and app stores.
SKILLS/EXPERIENCE:
 Bachelor’s in computer science, Computer Systems Engineering or a similar engineering
discipline.
 2-5 years of Full Stack experience in Software Development with Xamarin and associated
Microsoft development tools and environment
 Proven delivery experience with Xamarin, C# .NET and SQL, as well as ASP, MVVC, WCF,
REST. Significant SQL server experience including schema development, query analysis
and optimization.  Visual Studio and Infragistics.
 Knowledge and expertise with Bluetooth and general wireless communication protocols
This is a hands-on software development role with opportunity to grow and take on enhanced
responsibilities for the development and direction of the product.
The company name is Synectic Software Solutions. Web site is http://www.synecticssi.com/
The product is here: http://www.vendsys.com/
Synectic Software Solutions is a subsidiary of the Nayax company: https://www.nayax.com/about-
nayax/    "
3|Data Scientist & Software Engineer|N/A|Apr  9|https://boston.craigslist.org/bmw/sof/d/boxborough-data-scientist-software/7304410862.html|"
compensation: TBD

employment type: full-time

"|"

QR Code Link to This Post


Cisco Systems, Inc. is accepting resumes for multiple positions in Boxborough, MA:  Data Scientist (Ref#: BOX435B): Define business goals that are expected from the insights derived from ‘Big Data’. Software Engineer (Ref#: BOX003B): Responsible for the definition, design, development, test, debugging, release, enhancement or maintenance of software/networking software. 

Please mail resumes with reference number to Cisco Systems, Inc., Attn: G51G, 170 W. Tasman Drive, Mail Stop: SJC 5/1/4, San Jose, CA 95134.  No phone calls please.  Must be legally authorized to work in the U.S. without sponsorship.  EOE.  
www.cisco.com
"
4|Software Engineer|Remote|Apr  8|https://boston.craigslist.org/gbs/sof/d/andover-software-engineer/7303697158.html|"
compensation: To Be Discussed

employment type: full-time

"|"

QR Code Link to This Post



Join Hired and find your dream job as a Software Engineer at one of 10,000+ companies looking for candidates just like you.
This is a role that fuses both creative and practical concerns, as these engineers are responsible for everything the website user encounters, including scrolling functions and graphics, as well as creating the logic, database interactions and server configuration on the application's backend.

Responsibilities Include:

The development and maintenance of client-side and server-side applications.
Working with other web developers as well as marketing teams and engineers to ensure the right look and necessary features are included in your work.
Designing tests that will be implemented to keep software functional.
Stay on top of expanding technologies and engineering trends.



Companies on Hired apply to you, not the other way around. You'll receive salary and compensation details upfront - before the interview - and be able to choose from a variety of industries you're interested in, to find a job You'll love in less than 2 weeks.
To Learn More and Apply: Click Here "
5|Software Engineer|Remote|Apr  6|https://boston.craigslist.org/gbs/sof/d/andover-software-engineer/7302580375.html|"
compensation: To Be Discussed

employment type: full-time

"|"

QR Code Link to This Post



Join Hired and find your dream job as a Software Engineer at one of 10,000+ companies looking for candidates just like you.
This is a role that fuses both creative and practical concerns, as these engineers are responsible for everything the website user encounters, including scrolling functions and graphics, as well as creating the logic, database interactions and server configuration on the application's backend.

Responsibilities Include:

The development and maintenance of client-side and server-side applications.
Working with other web developers as well as marketing teams and engineers to ensure the right look and necessary features are included in your work.
Designing tests that will be implemented to keep software functional.
Stay on top of expanding technologies and engineering trends.



Companies on Hired apply to you, not the other way around. You'll receive salary and compensation details upfront - before the interview - and be able to choose from a variety of industries you're interested in, to find a job You'll love in less than 2 weeks.
To Learn More and Apply: Click Here "
6|✭✭✭Become a Web Developer. No Experience Needed (Remote)|N/A|Apr  4|https://boston.craigslist.org/gbs/sof/d/boston-become-web-developer-no/7301724610.html|"
compensation: $60,000-$120,000 depending on the company

employment type: full-time

telecommuting ok

"|"

QR Code Link to This Post


Start your next career in tech by joining Career Karma where we will help you prepare to become a Software Developer and help you get accepted into top Software job training programs. Career Karma is always free.

Average graduate salaries range between $60,000-120,000 per year in Coding, Design, Data Science roles. 

👉How to apply:  fill out this 1 minute form

What is Career Karma?
Career Karma is a free service that helps you explore courses and connect with other students like you, taking online courses to learn new in-demand skills. In less than 30 days, we will help you discover tech careers, prepare and get accepted into top job training programs in Boston.

We’ve helped thousands of people get high paying jobs in less than 12 months. Check out the story of Kesha Lake, who is a mom and music teacher. She joined Career Karma in January 2019 by November 2019, we helped her get a  Remote Software Engineering job making $98,000 working for StitchFix. 

📺Here is a video with our founder Ruben Harris on CNBC explaining how we have helped 100,000 Americans get jobs in technology.


Who is this for:
- Desire to acquire a new high in demand skill (like coding, design, cyber security, data science and analytics, and sales)
- Have a high level of motivation, energy, and attitude


Other highlights:
- No previous experience in technology
- No degree necessary
- No upfront deposit or fees to Join Career Karma. Completely FREE
- No one is too young or too old
- Diverse backgrounds is a plus

👉How to apply:  fill out this 1 minute form



"
7|✭✭✭Become a Web Developer. No Experience Needed (Remote)|N/A|Apr  2|https://boston.craigslist.org/gbs/sof/d/boston-become-web-developer-no/7300999570.html|"
compensation: $60,000-$120,000 depending on the company

employment type: full-time

telecommuting ok

"|"

QR Code Link to This Post


Start your next career in tech by joining Career Karma where we will help you prepare to become a Software Developer and help you get accepted into top Software job training programs. Career Karma is always free.

Average graduate salaries range between $60,000-120,000 per year in Coding, Design, Data Science roles. 

👉How to apply:  fill out this 1 minute form

What is Career Karma?
Career Karma is a free service that helps you explore courses and connect with other students like you, taking online courses to learn new in-demand skills. In less than 30 days, we will help you discover tech careers, prepare and get accepted into top job training programs in Boston.

We’ve helped thousands of people get high paying jobs in less than 12 months. Check out the story of Kesha Lake, who is a mom and music teacher. She joined Career Karma in January 2019 by November 2019, we helped her get a  Remote Software Engineering job making $98,000 working for StitchFix. 

📺Here is a video with our founder Ruben Harris on CNBC explaining how we have helped 100,000 Americans get jobs in technology.


Who is this for:
- Desire to acquire a new high in demand skill (like coding, design, cyber security, data science and analytics, and sales)
- Have a high level of motivation, energy, and attitude


Other highlights:
- No previous experience in technology
- No degree necessary
- No upfront deposit or fees to Join Career Karma. Completely FREE
- No one is too young or too old
- Diverse backgrounds is a plus

👉How to apply:  fill out this 1 minute form



"
8|Python Engineer @ WePlayed Sports|Boston (remote or on-site)|Apr  2|https://boston.craigslist.org/gbs/sof/d/boston-python-engineer-weplayed-sports/7300896102.html|"
compensation: negotiable

employment type: full-time

telecommuting ok

"|"

QR Code Link to This Post


About WePlayed.com:

Our Team

We are a small, well-funded start-up team of entrepreneurs focused on building a high-tech sports video platform. Our team includes former professional athletes and senior media and tech executives. Our development team consists of just a handful of true experts (UI, CV/ML, Big Data). WePlayed graduated from TechStars in 2019 and recently secured VC funding from a top-tier Boston-based venture capital firm. 

Our Tech

We leverage Computer Vision and Machine Learning in our core technology. Currently, our primary product offering helps colleges and universities manage and publish their video content in short-form clips we call “Moments.” Check out these for more info: https://weplayed.com/intro and https://about.weplayed.com/. Our customers include over thirty D1 schools as well as smaller universities. We have secured media-rights and partnerships with NCAA, SEC, ACC, Big 12 and other market-leading channel partners. We are looking to grow beyond college sports to create an ecosystem where every “Moment” is easily discoverable to the sports community.

Our Culture

We believe in work-life balance and walk the walk – we focus on outcomes and goals rather than screen-time or face-time. We trust our team members and support and empower them when times get tough for any reason. We take a novel approach to helping our employees with career development and plan ahead for 5-10 years. Most importantly: we believe in and cultivate diversity and inclusion.

About You

 * You are really passionate about sports data, sports video, and most importantly, Python!
 * You are a smart and self-motivated individual that enjoys working with likeminded people.
 * You are outgoing, communicate very well and are never afraid to ask questions or to share new ideas.
 * You thrive in fast-moving environments that are looking to build something cool while keeping quality and long-term vision in mind.
 * You have a successful track record of working in startups, wearing many hats and taking ownership.
 * You don’t always wait for requirements and specs to be fully formed – you are comfortable helping to figure things out in an agile way.
 * You love building data-based systems and are no stranger to AWS.
 * You consider the Linux/Unix command line to be your best non-human friend.
 * You look after the production environment like it is your baby.
 * You might not always Obey the Testing Goat but you recognize the value in the methodology and leverage test automation whenever possible.
 * You have found your groove and enjoy working remotely.
 * You are comfortable working in the Eastern time zone and look forward to in-person team events a couple of times a year (around Boston).

Position Mission Statement

Take ownership of various WePlayed backend systems including game data and roster management, all API interfaces and integrations, video serving, logging and many more. Introduce a number of key product features and new systems as the WePlayed platform enters the market. Introduce new design patterns and refactor existing modules with best practices, scalability and performance in mind. Report to and work closely with the CTO/Co-founder, collaborate with a small team of developers including Web UI and Computer Vision / ML engineers.

Let’s Chat!

To apply, please visit this page:

https://forms.gle/rA6VGWL6KkCngKBU7

This is a full-time, salaried and mostly-or-all-remote position. 

You must be authorized to work in the US to apply for this position.

Unfortunately at this time WePlayed is not open to working with third-party recruiting agencies, vendors or contractors.    "
9|database tutor|FRAMINGHAM|Apr  1|https://boston.craigslist.org/bmw/sof/d/framingham-database-tutor/7300534100.html|"
compensation: depends on experience.

employment type: contract

"|"

QR Code Link to This Post


Need tutoring on Access,SQL server and RDBMS
Hourly rate, contract labor.  Should have experience in databasee applications development and maintenance.
call 617-930-1684 Marc I am in Framingham.  Hours are flexible.  Let us discuss a potential match.    "
10|PowerBuilder Programmer/Analyst Position|Billerica|Apr  1|https://boston.craigslist.org/nos/sof/d/billerica-powerbuilder-programmer/7300338438.html|"
compensation: tbd

employment type: full-time

"|"

QR Code Link to This Post


McCracken Financial Solutions, located in Billerica Ma., is a leading software provider for the financial lending industry. McCracken clients are the top commercial lenders including Mortgage Bankers, Banks, Insurance Agencies, Government Agencies, Credit Companies and Thrifts servicing mortgage loans on our STRATEGY system.  Our products support the origination and servicing of commercial loans from the application process to the disposition of the loan including asset management, accounting and customer communication.   

Job description: 
The ideal candidate will work as a member of the development team for our Strategy application. Candidates will be responsible for analysis, design, development, and testing of user interfaces using PowerBuilder and DB2.

Requirements:
This position is for a PowerBuilder candidate to work in PowerBuilder 

•	2-4 years of PowerBuilder required - will support current software application which is written in PowerBuilder using PFC and object oriented techniques.
•	Will be writing SQL stored procedures in DB2 on IBM  iSeries.
•	Must be able to hit the ground running - object inheritance, client server experience, relational DBMS experience.
•	Must have excellent written and verbal communications skills and be a team player. 
•	Must be competent working through all phases of the SDLC, in either a team environment or independently. 
•	Outstanding analytical skills - Self starter, someone who naturally takes initiative, is pro-active and can work independently on a variety of projects.  
•	Ability to write technical documents and provide adequate documentation in code and in formal formats.

Desired Profile:
•	Object Oriented Programming experience is preferred
•	Prior PowerBuilder experience required
•	Two+ years of PFC (PowerBuilder Foundation Classes) preferred

Applicants must be a U.S. citizen or a ""U.S. Person"". A U.S. Person is defined as a person who is a lawful permanent resident “Green Card holder"" as defined by 8 U.S.C. 1101 (a)(20) or who is a ""Protected Individual"" as defined by 8 U.S.C. 1324b(a)(3).

No telephone calls for this position will be accepted.
No third party recruiters
"
